Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,¡TERUEL-EXISTE!/Votos,¡TERUEL-EXISTE!/Diputados,AHORA-CANARIAS/Votos,AHORA-CANARIAS/Diputados,ANDECHA/Votos,ANDECHA/Diputados,AUNACV/Votos,AUNACV/Diputados,AxSI/Votos,AxSI/Diputados,BNG/Votos,BNG/Diputados,C-21/Votos,C-21/Diputados,CAnda/Votos,CAnda/Diputados,CCa-PNC-NC/Votos,CCa-PNC-NC/Diputados,centrados/Votos,centrados/Diputados,CHA/Votos,CHA/Diputados,CONTIGO/Votos,CONTIGO/Diputados,CpM/Votos,CpM/Diputados,CUP-PR/Votos,CUP-PR/Diputados,DPL/Votos,DPL/Diputados,EAJ-PNV/Votos,EAJ-PNV/Diputados,EH-Bildu/Votos,EH-Bildu/Diputados,ELAK/Votos,ELAK/Diputados,ERC-SOBIRANISTES/Votos,ERC-SOBIRANISTES/Diputados,ERPV/Votos,ERPV/Diputados,EXTREMADURA-UNIDA/Votos,EXTREMADURA-UNIDA/Diputados,FE-de-las-JONS/Votos,FE-de-las-JONS/Diputados,FIA/Votos,FIA/Diputados,GBAI/Votos,GBAI/Diputados,I.Fem/Votos,I.Fem/Diputados,IZAR/Votos,IZAR/Diputados,IZQP/Votos,IZQP/Diputados,JxCAT-JUNTS/Votos,JxCAT-JUNTS/Diputados,MDyC/Votos,MDyC/Diputados,MES-COMPROMIS/Votos,MES-COMPROMIS/Diputados,MES-ESQUERRA/Votos,MES-ESQUERRA/Diputados,NA+/Votos,NA+/Diputados,NC-CCa-PNC/Votos,NC-CCa-PNC/Diputados,P-LIB/Votos,P-LIB/Diputados,PDSJE/Votos,PDSJE/Diputados,PH/Votos,PH/Diputados,PPSO/Votos,PPSO/Diputados,PRC/Votos,PRC/Diputados,PREPAL/Votos,PREPAL/Diputados,PYLN/Votos,PYLN/Diputados,RISA/Votos,RISA/Diputados,SOLIDARIA/Votos,SOLIDARIA/Diputados,SOMOS-REGION/Votos,SOMOS-REGION/Diputados,UDT/Votos,UDT/Diputados,UIG-SOM-CUIDES/Votos,UIG-SOM-CUIDES/Diputados,UNIDOS-SI-ACPS-DEf/Votos,UNIDOS-SI-ACPS-DEf/Diputados,UNION-REGIONALISTA/Votos,UNION-REGIONALISTA/Diputados,UPL/Votos,UPL/Diputados,VOX/Votos,VOX/Diputados,XAV/Votos,XAV/Diputados,VERDES/Votos,VERDES/Diputados,Cs/Votos,Cs/Diputados,EB/Votos,EB/Diputados,PODEMOS-GUANYEM/Votos,PODEMOS-GUANYEM/Diputados,MAS-PAIS/Votos,MAS-PAIS/Diputados,PACMA/Votos,PACMA/Diputados,PSOE/Votos,PSOE/Diputados,PUM+J/Votos,PUM+J/Diputados,RECORTES/Votos,RECORTES/Diputados,PP/Votos,PP/Diputados,PCE/Votos,PCE/Diputados
Galicia,15,A Coruña,1119351,1541,0,0,928257,0,928257,0,614199,607163,599877,7286,7036,0,0,0,0,0,0,0,0,0,0,57765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49793,0,0,0,0,0,28043,0,0,0,76235,1,12398,0,4377,0,182355,3,583,0,935,0,185267,3,2126,0
Castilla - La Mancha,2,Albacete,388786,519,0,0,302455,0,302455,0,216245,213644,211827,1817,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44237,1,0,0,0,0,15892,0,0,0,20644,0,0,0,1643,0,69589,2,369,0,214,0,58616,1,327,0
Comunitat Valenciana,3,Alicante / Alacant,1838819,2221,0,0,1237464,0,1237464,0,857839,849497,842772,6725,8342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35415,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167211,3,0,0,2282,0,68832,1,0,0,108046,1,0,0,9379,0,239605,4,935,0,886,0,207060,3,899,0
Andalucía,4,Almería,709340,809,0,0,460642,0,460642,0,303486,300498,297817,2681,2988,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80397,2,0,0,0,0,22645,0,586,0,24089,0,0,0,2518,0,88425,2,360,0,334,0,77751,2,411,0
País Vasco,1,Araba / Álava,328868,425,0,0,251429,0,251429,0,171485,170110,169202,908,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40127,1,27364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,2504,0,0,0,27992,1,0,0,1151,0,37325,1,380,0,402,0,25318,0,216,0
Principado de Asturias,33,Asturias,1028244,1541,0,0,853834,0,853834,0,559068,553683,546738,6945,5385,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88052,1,0,0,0,0,36852,0,0,0,88393,1,12496,0,4288,0,184062,3,463,0,776,0,128698,2,1400,0
Castilla y León,5,Ávila,158498,357,0,0,128646,0,128646,0,94200,92924,92173,751,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17259,1,5399,0,0,0,6081,0,0,0,5977,0,0,0,421,0,24267,1,99,0,100,0,32385,1,97,0
Extremadura,6,Badajoz,676376,898,0,0,543403,0,543403,0,375976,369201,365611,3590,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63893,1,0,0,0,0,29407,0,0,0,33780,0,0,0,2390,0,141980,3,915,0,658,0,92588,2,0,0
Cataluña,8,Barcelona,5609350,5985,0,0,4011961,0,4011961,0,2927123,2912635,2892140,20495,14488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177428,2,0,0,0,0,0,0,0,0,615504,7,0,0,0,0,0,0,0,0,0,0,2822,0,0,0,1152,0,342082,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184313,2,0,0,0,0,172918,2,0,0,450612,5,41703,0,34626,0,635265,8,1499,0,4572,0,224639,2,3005,0
País Vasco,48,Bizkaia,1149628,1396,0,0,909703,0,909703,0,630779,627113,623341,3772,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221171,4,94377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,15094,0,0,0,0,0,6829,0,0,0,96558,1,8463,0,3745,0,119917,2,486,0,821,0,55130,0,481,0
